filename,label
001.jpeg,0
002.jpeg,1
003.jpeg,2
004.jpeg,3
005.jpeg,4
006.jpeg,5
007.jpeg,6
008.jpeg,7
009.jpeg,8
010.jpeg,9
011.jpeg,0
012.jpeg,1
013.jpeg,2
014.jpeg,3
015.jpeg,4
016.jpeg,5
017.jpeg,6
018.jpeg,7
019.jpeg,8
020.jpeg,9
021.jpeg,0
022.jpeg,1
023.jpeg,2
024.jpeg,3
025.jpeg,4
026.jpeg,5
027.jpeg,6
028.jpeg,7
029.jpeg,8
030.jpeg,9
031.jpeg,0
032.jpeg,1
033.jpeg,2
034.jpeg,3
035.jpeg,4
036.jpeg,5
037.jpeg,6
038.jpeg,7
039.jpeg,8
040.jpeg,9
041.jpeg,0
042.jpeg,1
043.jpeg,2
044.jpeg,3
045.jpeg,4
046.jpeg,5
047.jpeg,6
048.jpeg,7
049.jpeg,8
050.jpeg,9
051.jpeg,0
052.jpeg,1
053.jpeg,2
054.jpeg,3
055.jpeg,4
056.jpeg,5
057.jpeg,6
058.jpeg,7
059.jpeg,8
060.jpeg,9
061.jpeg,0
062.jpeg,1
063.jpeg,2
064.jpeg,3
065.jpeg,4
066.jpeg,5
067.jpeg,6
068.jpeg,7
069.jpeg,8
070.jpeg,9
071.jpeg,0
072.jpeg,1
073.jpeg,2
074.jpeg,3
075.jpeg,4
076.jpeg,5
077.jpeg,6
078.jpeg,7
079.jpeg,8
080.jpeg,9
081.jpeg,0
082.jpeg,1
083.jpeg,2
084.jpeg,3
085.jpeg,4
086.jpeg,5
087.jpeg,6
088.jpeg,7
089.jpeg,8
090.jpeg,9
091.jpeg,0
092.jpeg,1
093.jpeg,2
094.jpeg,3
095.jpeg,4
096.jpeg,5
097.jpeg,6
098.jpeg,7
099.jpeg,8
100.jpeg,9
101.jpeg,0
102.jpeg,1
103.jpeg,2
104.jpeg,3
105.jpeg,4
106.jpeg,5
107.jpeg,6
108.jpeg,7
109.jpeg,8
110.jpeg,9
111.jpeg,0
112.jpeg,1
113.jpeg,2
114.jpeg,3
115.jpeg,4
116.jpeg,5
117.jpeg,6
118.jpeg,7
119.jpeg,8
120.jpeg,9
121.jpeg,0
122.jpeg,1
123.jpeg,2
124.jpeg,3
125.jpeg,4
126.jpeg,5
127.jpeg,6
128.jpeg,7
129.jpeg,8
130.jpeg,9
131.jpeg,0
132.jpeg,1
133.jpeg,2
134.jpeg,3
135.jpeg,4
136.jpeg,5
137.jpeg,6
138.jpeg,7
139.jpeg,8
140.jpeg,9
141.jpeg,0
142.jpeg,1
143.jpeg,2
144.jpeg,3
145.jpeg,4
146.jpeg,5
147.jpeg,6
148.jpeg,7
149.jpeg,8
150.jpeg,9
151.jpeg,0
152.jpeg,1
153.jpeg,2
154.jpeg,3
155.jpeg,4
156.jpeg,5
157.jpeg,6
158.jpeg,7
159.jpeg,8
160.jpeg,9
161.jpeg,0
162.jpeg,1
163.jpeg,2
164.jpeg,3
165.jpeg,4
166.jpeg,5
167.jpeg,6
168.jpeg,7
169.jpeg,8
170.jpeg,9
171.jpeg,0
172.jpeg,1
173.jpeg,2
174.jpeg,3
175.jpeg,4
176.jpeg,5
177.jpeg,6
178.jpeg,7
179.jpeg,8
180.jpeg,9
181.jpeg,0
182.jpeg,1
183.jpeg,2
184.jpeg,3
185.jpeg,4
186.jpeg,5
187.jpeg,6
188.jpeg,7
189.jpeg,8
190.jpeg,9
191.jpeg,0
192.jpeg,1
193.jpeg,2
194.jpeg,3
195.jpeg,4
196.jpeg,5
197.jpeg,6
198.jpeg,7
199.jpeg,8
200.jpeg,9
201.jpeg,0
202.jpeg,1
203.jpeg,2
204.jpeg,3
205.jpeg,4
206.jpeg,5
207.jpeg,6
208.jpeg,7
209.jpeg,8
210.jpeg,9
211.jpeg,0
212.jpeg,1
213.jpeg,2
214.jpeg,3
215.jpeg,4
216.jpeg,5
217.jpeg,6
218.jpeg,7
219.jpeg,8
220.jpeg,9
221.jpeg,0
222.jpeg,1
223.jpeg,2
224.jpeg,3
225.jpeg,4
226.jpeg,5
227.jpeg,6
228.jpeg,7
229.jpeg,8
230.jpeg,9
231.jpeg,0
232.jpeg,1
233.jpeg,2
234.jpeg,3
235.jpeg,4
236.jpeg,5
237.jpeg,6
238.jpeg,7
239.jpeg,8
240.jpeg,9
241.jpeg,0
242.jpeg,1
243.jpeg,2
244.jpeg,3
245.jpeg,4
246.jpeg,5
247.jpeg,6
248.jpeg,7
249.jpeg,8
250.jpeg,9
251.jpeg,0
252.jpeg,1
253.jpeg,2
254.jpeg,3
255.jpeg,4
256.jpeg,5
257.jpeg,6
258.jpeg,7
259.jpeg,8
260.jpeg,9
261.jpeg,0
262.jpeg,1
263.jpeg,2
264.jpeg,3
265.jpeg,4
266.jpeg,5
267.jpeg,6
268.jpeg,7
269.jpeg,8
270.jpeg,9
271.jpeg,0
272.jpeg,1
273.jpeg,2
274.jpeg,3
275.jpeg,4
276.jpeg,5
277.jpeg,6
278.jpeg,7
279.jpeg,8
280.jpeg,9
281.jpeg,0
282.jpeg,1
283.jpeg,2
284.jpeg,3
285.jpeg,4
286.jpeg,5
287.jpeg,6
288.jpeg,7
289.jpeg,8
290.jpeg,9
291.jpeg,0
292.jpeg,1
293.jpeg,2
294.jpeg,3
295.jpeg,4
296.jpeg,5
297.jpeg,6
298.jpeg,7
299.jpeg,8
300.jpeg,9
301.jpeg,0
302.jpeg,1
303.jpeg,2
304.jpeg,3
305.jpeg,4
306.jpeg,5
307.jpeg,6
308.jpeg,7
309.jpeg,8
310.jpeg,9
311.jpeg,0
312.jpeg,1
313.jpeg,2
314.jpeg,3
315.jpeg,4
316.jpeg,5
317.jpeg,6
318.jpeg,7
319.jpeg,8
320.jpeg,9
321.jpeg,0
322.jpeg,1
323.jpeg,2
324.jpeg,3
325.jpeg,4
326.jpeg,5
327.jpeg,6
328.jpeg,7
329.jpeg,8
330.jpeg,9
331.jpeg,0
332.jpeg,1
333.jpeg,2
334.jpeg,3
335.jpeg,4
336.jpeg,5
337.jpeg,6
338.jpeg,7
339.jpeg,8
340.jpeg,9
341.jpeg,0
342.jpeg,1
343.jpeg,2
344.jpeg,3
345.jpeg,4
346.jpeg,5
347.jpeg,6
348.jpeg,7
349.jpeg,8
350.jpeg,9
351.jpeg,0
352.jpeg,1
